"subject" "activity" "variable" "mean"
1 "walking" "fbodygyrostdy" -0.0335081597884211
1 "walking" "fbodygyrostdz" -0.436562227473684
1 "walking" "fbodyaccmagmean" -0.128623450629474
1 "walking" "fbodyaccmagstd" -0.398032586842105
1 "walking" "fbodybodyaccjerkmagmean" -0.0571194000343158
1 "walking" "fbodybodyaccjerkmagstd" -0.103492403002105
1 "walking" "fbodybodygyromagmean" -0.199252568986316
1 "walking" "fbodybodygyromagstd" -0.321017953894737
1 "walking" "fbodybodygyrojerkmagmean" -0.319308593778947
1 "walking" "fbodybodygyrojerkmagstd" -0.381601911789474
1 "walkingdownstairs" "tbodyaccmeanx" 0.289188320408163
1 "walkingdownstairs" "tbodyaccmeany" -0.00991850461020408
1 "walkingdownstairs" "tbodyaccmeanz" -0.107566190908163
1 "walkingdownstairs" "tbodyaccstdx" 0.0300353383483878
1 "walkingdownstairs" "tbodyaccstdy" -0.0319359434489796
1 "walkingdownstairs" "tbodyaccstdz" -0.230434213204082
1 "walkingdownstairs" "tgravityaccmeanx" 0.931874418979592
1 "walkingdownstairs" "tgravityaccmeany" -0.266610338979592
1 "walkingdownstairs" "tgravityaccmeanz" -0.0621199585938775
1 "walkingdownstairs" "tgravityaccstdx" -0.950559811632653
1 "walkingdownstairs" "tgravityaccstdy" -0.937018658979592
1 "walkingdownstairs" "tgravityaccstdz" -0.895939695102041
1 "walkingdownstairs" "tbodyaccjerkmeanx" 0.0541553164897959
1 "walkingdownstairs" "tbodyaccjerkmeany" 0.0296504490408163
1 "walkingdownstairs" "tbodyaccjerkmeanz" -0.0109719730183673
1 "walkingdownstairs" "tbodyaccjerkstdx" -0.012283860544898
1 "walkingdownstairs" "tbodyaccjerkstdy" -0.101601390640816
1 "walkingdownstairs" "tbodyaccjerkstdz" -0.345735032326531
1 "walkingdownstairs" "tbodygyromeanx" -0.0350781902989796
1 "walkingdownstairs" "tbodygyromeany" -0.0909371290204082
1 "walkingdownstairs" "tbodygyromeanz" 0.0900850142030612
1 "walkingdownstairs" "tbodygyrostdx" -0.458030542938775
1 "walkingdownstairs" "tbodygyrostdy" -0.126349194938775
1 "walkingdownstairs" "tbodygyrostdz" -0.124702454242857
1 "walkingdownstairs" "tbodygyrojerkmeanx" -0.0739592036271429
1 "walkingdownstairs" "tbodygyrojerkmeany" -0.0439902783367347
1 "walkingdownstairs" "tbodygyrojerkmeanz" -0.0270461061061224
1 "walkingdownstairs" "tbodygyrojerkstdx" -0.487027342244898
1 "walkingdownstairs" "tbodygyrojerkstdy" -0.238824827530612
1 "walkingdownstairs" "tbodygyrojerkstdz" -0.268761480242857
1 "walkingdownstairs" "tbodyaccmagmean" 0.0271882914106122
1 "walkingdownstairs" "tbodyaccmagstd" 0.0198843506265306
1 "walkingdownstairs" "tgravityaccmagmean" 0.0271882914106122
1 "walkingdownstairs" "tgravityaccmagstd" 0.0198843506265306
1 "walkingdownstairs" "tbodyaccjerkmagmean" -0.0894474807979592
1 "walkingdownstairs" "tbodyaccjerkmagstd" -0.0257877197081633
1 "walkingdownstairs" "tbodygyromagmean" -0.0757412543673469
1 "walkingdownstairs" "tbodygyromagstd" -0.225724368061224
1 "walkingdownstairs" "tbodygyrojerkmagmean" -0.295463843346939
1 "walkingdownstairs" "tbodygyrojerkmagstd" -0.306510645530612
1 "walkingdownstairs" "fbodyaccmeanx" 0.0382291831510204
1 "walkingdownstairs" "fbodyaccmeany" 0.00154990783591837
1 "walkingdownstairs" "fbodyaccmeanz" -0.225574471693878
1 "walkingdownstairs" "fbodyaccstdx" 0.0243308391387755
1 "walkingdownstairs" "fbodyaccstdy" -0.112963739953061
1 "walkingdownstairs" "fbodyaccstdz" -0.297927894693878
1 "walkingdownstairs" "fbodyaccjerkmeanx" -0.0276638676122449
1 "walkingdownstairs" "fbodyaccjerkmeany" -0.12866715764898
1 "walkingdownstairs" "fbodyaccjerkmeanz" -0.288334735714286
1 "walkingdownstairs" "fbodyaccjerkstdx" -0.0863278966402041
1 "walkingdownstairs" "fbodyaccjerkstdy" -0.134580008877551
1 "walkingdownstairs" "fbodyaccjerkstdz" -0.401721464285714
1 "walkingdownstairs" "fbodygyromeanx" -0.352449631363265
1 "walkingdownstairs" "fbodygyromeany" -0.0557022524693878
1 "walkingdownstairs" "fbodygyromeanz" -0.0318694271979592
1 "walkingdownstairs" "fbodygyrostdx" -0.495422486102041
1 "walkingdownstairs" "fbodygyrostdy" -0.181414728657143
1 "walkingdownstairs" "fbodygyrostdz" -0.238443565306122
1 "walkingdownstairs" "fbodyaccmagmean" 0.0965845343040816
1 "walkingdownstairs" "fbodyaccmagstd" -0.186530301073469
1 "walkingdownstairs" "fbodybodyaccjerkmagmean" 0.0262184949326531
1 "walkingdownstairs" "fbodybodyaccjerkmagstd" -0.104052260726531
1 "walkingdownstairs" "fbodybodygyromagmean" -0.185720285744898
1 "walkingdownstairs" "fbodybodygyromagstd" -0.398350390122449
1 "walkingdownstairs" "fbodybodygyrojerkmagmean" -0.281963359177551
1 "walkingdownstairs" "fbodybodygyrojerkmagstd" -0.391919876612245
1 "walkingupstairs" "tbodyaccmeanx" 0.255461689622641
1 "walkingupstairs" "tbodyaccmeany" -0.0239531492643396
1 "walkingupstairs" "tbodyaccmeanz" -0.0973020020943396
1 "walkingupstairs" "tbodyaccstdx" -0.35470802509434
1 "walkingupstairs" "tbodyaccstdy" -0.00232026501698113
1 "walkingupstairs" "tbodyaccstdz" -0.0194792388471698
1 "walkingupstairs" "tgravityaccmeanx" 0.89335109754717
1 "walkingupstairs" "tgravityaccmeany" -0.362153364339623
1 "walkingupstairs" "tgravityaccmeanz" -0.075402939754717
1 "walkingupstairs" "tgravityaccstdx" -0.956367027924528
1 "walkingupstairs" "tgravityaccstdy" -0.952849233207547
1 "walkingupstairs" "tgravityaccstdz" -0.912379410377358
1 "walkingupstairs" "tbodyaccjerkmeanx" 0.101372729922642
1 "walkingupstairs" "tbodyaccjerkmeany" 0.0194863076188679
1 "walkingupstairs" "tbodyaccjerkmeanz" -0.0455625449113208
1 "walkingupstairs" "tbodyaccjerkstdx" -0.446843887735849
1 "walkingupstairs" "tbodyaccjerkstdy" -0.378274426037736
1 "walkingupstairs" "tbodyaccjerkstdz" -0.706593530943396
1 "walkingupstairs" "tbodygyromeanx" 0.050549379754717
1 "walkingupstairs" "tbodygyromeany" -0.166170015088679
1 "walkingupstairs" "tbodygyromeanz" 0.0583595463981132
1 "walkingupstairs" "tbodygyrostdx" -0.544871104528302
1 "walkingupstairs" "tbodygyrostdy" 0.00410518379811321
1 "walkingupstairs" "tbodygyrostdz" -0.50716867490566
1 "walkingupstairs" "tbodygyrojerkmeanx" -0.122232768011321
1 "walkingupstairs" "tbodygyrojerkmeany" -0.0421485884509434
1 "walkingupstairs" "tbodygyrojerkmeanz" -0.0407125527654717
1 "walkingupstairs" "tbodygyrojerkstdx" -0.614786508490566
1 "walkingupstairs" "tbodygyrojerkstdy" -0.601696656226415
1 "walkingupstairs" "tbodygyrojerkstdz" -0.606332002264151
1 "walkingupstairs" "tbodyaccmagmean" -0.129927630735849
1 "walkingupstairs" "tbodyaccmagstd" -0.324970929245283
1 "walkingupstairs" "tgravityaccmagmean" -0.129927630735849
1 "walkingupstairs" "tgravityaccmagstd" -0.324970929245283
1 "walkingupstairs" "tbodyaccjerkmagmean" -0.466503446226415
1 "walkingupstairs" "tbodyaccjerkmagstd" -0.478991622075472
1 "walkingupstairs" "tbodygyromagmean" -0.126735589969811
1 "walkingupstairs" "tbodygyromagstd" -0.14861931805283
1 "walkingupstairs" "tbodygyrojerkmagmean" -0.59488286509434
1 "walkingupstairs" "tbodygyrojerkmagstd" -0.648553044339623
1 "walkingupstairs" "fbodyaccmeanx" -0.404321784150943
1 "walkingupstairs" "fbodyaccmeany" -0.190976720811321
1 "walkingupstairs" "fbodyaccmeanz" -0.433349702075472
1 "walkingupstairs" "fbodyaccstdx" -0.337428188679245
1 "walkingupstairs" "fbodyaccstdy" 0.0217695106566038
1 "walkingupstairs" "fbodyaccstdz" 0.0859565543849057
1 "walkingupstairs" "fbodyaccjerkmeanx" -0.479875245660377
1 "walkingupstairs" "fbodyaccjerkmeany" -0.41344458754717
1 "walkingupstairs" "fbodyaccjerkmeanz" -0.685474353962264
1 "walkingupstairs" "fbodyaccjerkstdx" -0.461907025849057
1 "walkingupstairs" "fbodyaccjerkstdy" -0.381777065283019
1 "walkingupstairs" "fbodyaccjerkstdz" -0.726040200754717
1 "walkingupstairs" "fbodygyromeanx" -0.492611667924528
1 "walkingupstairs" "fbodygyromeany" -0.319474609056604
1 "walkingupstairs" "fbodygyromeanz" -0.453597213018868
1 "walkingupstairs" "fbodygyrostdx" -0.565892490754717
1 "walkingupstairs" "fbodygyrostdy" 0.151538905566038
1 "walkingupstairs" "fbodygyrostdz" -0.57170784
1 "walkingupstairs" "fbodyaccmagmean" -0.352395944716981
1 "walkingupstairs" "fbodyaccmagstd" -0.416260101509434
1 "walkingupstairs" "fbodybodyaccjerkmagmean" -0.44265216245283
1 "walkingupstairs" "fbodybodyaccjerkmagstd" -0.533059853773585
1 "walkingupstairs" "fbodybodygyromagmean" -0.325961457396226
1 "walkingupstairs" "fbodybodygyromagstd" -0.182985518264151
1 "walkingupstairs" "fbodybodygyrojerkmagmean" -0.634665082075472
1 "walkingupstairs" "fbodybodygyrojerkmagstd" -0.693930521509434
2 "laying" "tbodyaccmeanx" 0.281373403958333
2 "laying" "tbodyaccmeany" -0.0181587397583333
2 "laying" "tbodyaccmeanz" -0.107245610416667
2 "laying" "tbodyaccstdx" -0.974059464791667
2 "laying" "tbodyaccstdy" -0.98027739875
2 "laying" "tbodyaccstdz" -0.984233296875
2 "laying" "tgravityaccmeanx" -0.509754238125
2 "laying" "tgravityaccmeany" 0.752536639375
2 "laying" "tgravityaccmeanz" 0.646834879583333
2 "laying" "tgravityaccstdx" -0.959014441458333
2 "laying" "tgravityaccstdy" -0.988211865208333
2 "laying" "tgravityaccstdz" -0.984230418125
2 "laying" "tbodyaccjerkmeanx" 0.0825972511666667
2 "laying" "tbodyaccjerkmeany" 0.012254788451875
2 "laying" "tbodyaccjerkmeanz" -0.00180264895625
2 "laying" "tbodyaccjerkstdx" -0.98587216875
2 "laying" "tbodyaccjerkstdy" -0.98317254125
2 "laying" "tbodyaccjerkstdz" -0.988442014375
2 "laying" "tbodygyromeanx" -0.01847660675
2 "laying" "tbodygyromeany" -0.111800824583333
2 "laying" "tbodygyromeanz" 0.144882846104167
2 "laying" "tbodygyrostdx" -0.988275232916667
2 "laying" "tbodygyrostdy" -0.982291608958333
2 "laying" "tbodygyrostdz" -0.960306560416667
2 "laying" "tbodygyrojerkmeanx" -0.101974134208333
2 "laying" "tbodygyrojerkmeany" -0.0358590176083333
2 "laying" "tbodygyrojerkmeanz" -0.0701783020833333
2 "laying" "tbodygyrojerkstdx" -0.993235849166667
2 "laying" "tbodygyrojerkstdy" -0.989567537916667
2 "laying" "tbodygyrojerkstdz" -0.98803582125
2 "laying" "tbodyaccmagmean" -0.977435485208333
2 "laying" "tbodyaccmagstd" -0.972873912916667
2 "laying" "tgravityaccmagmean" -0.977435485208333
2 "laying" "tgravityaccmagstd" -0.972873912916667
2 "laying" "tbodyaccjerkmagmean" -0.987741696041667
2 "laying" "tbodyaccjerkmagstd" -0.98551807625
2 "laying" "tbodygyromagmean" -0.950011569583333
2 "laying" "tbodygyromagstd" -0.961164053958333
2 "laying" "tbodygyrojerkmagmean" -0.991767074166667
2 "laying" "tbodygyrojerkmagstd" -0.989718095208333
2 "laying" "fbodyaccmeanx" -0.976725059791667
2 "laying" "fbodyaccmeany" -0.979800877916667
2 "laying" "fbodyaccmeanz" -0.984380981875
2 "laying" "fbodyaccstdx" -0.973246482083333
2 "laying" "fbodyaccstdy" -0.981025105625
2 "laying" "fbodyaccstdz" -0.984792185
2 "laying" "fbodyaccjerkmeanx" -0.985813630833333
2 "laying" "fbodyaccjerkmeany" -0.982768250416667
2 "laying" "fbodyaccjerkmeanz" -0.986197134583333
2 "laying" "fbodyaccjerkstdx" -0.987250255833333
2 "laying" "fbodyaccjerkstdy" -0.984987392916667
2 "laying" "fbodyaccjerkstdz" -0.989345368541667
2 "laying" "fbodygyromeanx" -0.9864311425
2 "laying" "fbodygyromeany" -0.983321635416667
2 "laying" "fbodygyromeanz" -0.9626718875
2 "laying" "fbodygyrostdx" -0.988860685833333
2 "laying" "fbodygyrostdy" -0.981910616458333
2 "laying" "fbodygyrostdz" -0.963174222291667
2 "laying" "fbodyaccmagmean" -0.975110196458333
2 "laying" "fbodyaccmagstd" -0.975121387916667
2 "laying" "fbodybodyaccjerkmagmean" -0.985374114791667
2 "laying" "fbodybodyaccjerkmagstd" -0.984568489166667
2 "laying" "fbodybodygyromagmean" -0.972112972708333
2 "laying" "fbodybodygyromagstd" -0.96109837875
2 "laying" "fbodybodygyrojerkmagmean" -0.990248702291667
2 "laying" "fbodybodygyrojerkmagstd" -0.989492660416667
2 "sitting" "tbodyaccmeanx" 0.27708735173913
2 "sitting" "tbodyaccmeany" -0.0156879937282609
2 "sitting" "tbodyaccmeanz" -0.109218272456522
2 "sitting" "tbodyaccstdx" -0.986822279565217
2 "sitting" "tbodyaccstdy" -0.950704499130435
2 "sitting" "tbodyaccstdz" -0.95982817173913
2 "sitting" "tgravityaccmeanx" 0.940477273043478
2 "sitting" "tgravityaccmeany" -0.105630024498783
2 "sitting" "tgravityaccmeanz" 0.19872676876087
2 "sitting" "tgravityaccstdx" -0.979988760869565
2 "sitting" "tgravityaccstdy" -0.956750273043478
2 "sitting" "tgravityaccstdz" -0.954415873043478
2 "sitting" "tbodyaccjerkmeanx" 0.0722564387173913
